Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
CORT,Fortress,38.2,43.91,Healthcare,17.74,19.57,4.92,26.14,3.141,100.0,4.03,2.16667,91.0,138.22
DOCS,Fortress,43.29,34.63,Healthcare,29.06,20.77,38.55,34.85,7.786,100.0,8.15,2.15,67.9,56.85
SGHC,Fortress,11.64,27.71,Consumer Cyclical,9.53,31.26,23.52,10.14,1.75,32.04,5.89,1.25,17.625,51.42
SMPL,Fortress,19.56,19.18,Consumer Defensive,3.32,7.01,15.69,16.38,3.642,6.85,1.95,2.0,29.6,51.33
TME,Fortress,17.86,18.04,Communication Services,2.06,11.96,29.13,16.63,2.085,71.26,30.08,1.40625,26.889978,50.56
GPRK,Fortress,7.29,11.05,Energy,1.75,33.49,25.9,45.1,2.63,7.68,0.38,1.85714,10.9,49.52
ACHC,Fortress,14.29,12.32,Healthcare,1.16,8.52,14.04,17.48,1.444,3.94,1.32,2.07143,21.21429,48.46
ELF,Fortress,77.81,54.41,Consumer Defensive,7.34,15.14,2.24,11.51,2.701,9.74,4.64,1.625,115.42857,48.35
GNRC,Fortress,141.1,26.03,Industrials,4.08,12.25,9.25,13.59,2.183,5.56,8.28,1.80952,206.5294,46.37
BIRK,Fortress,41.77,18.99,Consumer Cyclical,3.28,12.15,22.04,24.04,2.811,7.22,7.68,1.5,60.983425,46.0
BRBR,Fortress,26.09,15.53,Consumer Defensive,5.95,54.3,15.77,16.89,2.353,5.23,3.12,1.8125,38.0,45.65
JBS,Fortress,14.18,14.04,Consumer Defensive,2.7,15.01,5.48,6.17,1.602,2.65,15.73,1.33333,20.299528,43.16
FRO,Fortress,20.58,21.0,Energy,1.62,14.32,20.8,25.9,1.369,2.66,4.58,1.25,29.375,42.74
NWSA,Fortress,26.19,31.55,Communication Services,2.35,7.41,10.45,9.72,1.763,,15.29,1.75,36.68571,40.08
NFLX,Fortress,90.99,38.07,Communication Services,10.26,24.92,28.22,21.5,1.332,14.87,385.55,1.95349,126.19184,38.69
LKQ,Fortress,30.03,11.12,Consumer Cyclical,2.63,10.09,8.23,10.56,1.596,4.66,7.73,1.77778,41.1875,37.15
CNH,Fortress,9.35,19.08,Industrials,1.71,10.91,3.36,18.47,5.181,1.9,11.7,2.05263,12.75526,36.42
NVDA,Fortress,188.85,46.63,Technology,90.66,90.08,63.17,43.63,4.468,341.19,4597.93,1.32812,253.01825,33.98
GLOB,Fortress,63.07,28.8,Technology,2.98,9.11,9.76,10.92,1.934,8.34,2.78,2.13636,84.33333,33.71
HOG,Fortress,20.64,4.91,Consumer Cyclical,1.31,6.58,36.56,13.15,2.515,17.82,2.51,2.4,27.5,33.24
BSX,Fortress,94.71,50.65,Healthcare,5.6,7.84,20.73,16.57,1.508,8.48,140.4,1.32353,125.85781,32.89
MSFT,Fortress,472.94,34.37,Technology,9.42,26.37,48.87,43.52,1.401,52.84,3515.44,1.2807,622.51416,31.63
AVGO,Fortress,347.62,72.72,Technology,12.06,17.0,31.77,39.71,1.705,8.08,1648.16,1.27083,456.802,31.41
LEVI,Fortress,20.82,15.89,Consumer Cyclical,2.78,5.97,11.68,9.8,1.519,6.24,8.24,1.64286,27.21429,30.71
VNOM,Fortress,38.78,15.96,Energy,7.16,11.51,50.63,72.8,1.879,7.82,12.65,1.38889,50.66667,30.65
ET,Fortress,16.59,13.27,Energy,1.38,9.08,10.79,10.95,1.405,3.27,56.96,1.55,21.6181,30.31
CPRT,Fortress,37.77,24.06,Industrials,27.57,18.04,37.29,37.83,7.939,,36.56,2.33333,48.88889,29.44
LW,Fortress,42.29,15.16,Consumer Defensive,2.42,11.24,9.47,13.91,1.433,3.7,5.89,2.36364,54.63636,29.19
META,Fortress,650.41,28.8,Communication Services,12.79,29.44,40.08,35.32,1.978,99.83,1639.38,1.35821,837.1525,28.71
DLO,Fortress,14.07,25.12,Technology,5.7,30.69,19.68,28.06,1.456,302.44,4.15,1.7,17.95,27.58
PDD,Fortress,115.75,11.51,Consumer Cyclical,3.22,41.91,23.11,20.47,2.355,100.0,164.32,1.7561,147.64946,27.56
BABA,Fortress,155.74,20.82,Consumer Cyclical,1.83,12.06,2.17,12.72,1.456,17.2,371.6,1.44186,198.57019,27.5
OLLI,Fortress,111.32,30.42,Consumer Defensive,7.04,11.91,9.03,10.84,2.5,100.0,6.83,1.73333,141.53333,27.14
EOG,Fortress,107.27,10.65,Energy,4.0,19.98,33.22,40.18,1.624,60.55,58.57,2.09091,136.07195,26.85
AS,Fortress,37.5,68.18,Consumer Cyclical,4.48,5.6,12.87,7.29,1.511,1.74,20.8,1.28,46.86957,24.99
DAR,Fortress,37.64,56.18,Consumer Defensive,1.97,5.55,7.87,8.93,1.488,1.97,5.95,1.38462,47.0,24.87
TSCO,Fortress,50.83,24.56,Consumer Cyclical,5.26,19.6,9.21,10.1,1.301,26.88,26.86,1.93548,63.14815,24.23
LNTH,Fortress,67.27,27.57,Healthcare,5.57,25.9,11.36,10.84,2.667,22.91,4.57,1.46154,83.14286,23.6
FND,Fortress,62.97,31.48,Consumer Cyclical,2.97,6.73,6.11,9.03,1.27,92.38,6.79,2.5,77.81818,23.58
ETN,Fortress,327.31,32.73,Industrials,5.4,15.38,19.79,15.59,1.28,36.12,127.42,1.82759,404.0624,23.45
CDNS,Fortress,310.4,80.0,Technology,14.15,19.35,35.09,29.17,3.048,19.37,84.58,1.57692,382.9781,23.38
AGI,Fortress,38.41,30.01,Basic Materials,5.99,10.53,80.68,28.96,1.717,35.88,16.13,1.38462,47.375,23.34
GPK,Fortress,15.15,8.96,Consumer Cyclical,1.72,12.08,11.69,11.15,1.545,4.85,4.49,2.45455,18.68,23.3
PAGS,Fortress,9.67,7.27,Technology,1.11,20.32,38.37,30.23,1.42,1.64,2.82,2.0,11.922721,23.3
JAZZ,Fortress,173.15,0.0,Healthcare,1.82,6.46,22.33,13.24,1.652,2.98,10.52,1.5,213.0,23.01
