Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
VNP.TO,Fortress,18.0,26.87,Basic Materials,4.79,10.36,25.48,5.91,2.973,3.57,1.6,1.5,25.392262,41.07
TXG.TO,Fortress,64.49,14.05,Basic Materials,8.79,19.55,43.61,32.65,1.377,100.0,6.2,1.5,82.95833,28.64
CVE.TO,Fortress,24.05,13.44,Energy,2.64,9.6,11.0,10.14,1.729,7.27,45.37,1.52941,29.67647,23.39
AGI.TO,Fortress,52.7,30.29,Basic Materials,8.04,10.53,80.68,28.96,1.717,35.88,22.13,1.38462,64.2932,22.0
GRGD.TO,Fortress,81.04,42.88,Consumer Cyclical,14.08,45.97,33.04,16.06,1.713,6.57,8.78,1.58333,98.41667,21.44
PHX.TO,Fortress,7.65,6.95,Energy,3.31,24.67,2.0,8.13,1.901,32.76,0.35,1.66667,9.16667,19.83
BDI.TO,Fortress,14.82,25.55,Industrials,2.03,8.05,14.56,12.08,1.352,3.62,1.0,1.5,17.625,18.93
DOO.TO,Fortress,98.51,29.67,Consumer Cyclical,2.28,8.86,9.04,12.88,1.229,1.8,7.23,1.83333,116.86717,18.63
OGC.TO,Fortress,38.75,16.63,Basic Materials,10.74,12.37,36.34,20.19,1.274,12.14,8.85,1.54545,45.477383,17.36
KEY.TO,Fortress,44.61,23.86,Energy,2.07,11.31,9.89,12.62,1.881,3.88,10.23,1.84615,52.30769,17.26
PSI.TO,Fortress,12.29,15.76,Energy,6.84,18.43,20.03,29.62,2.529,100.0,0.96,2.0,14.4,17.17
CIA.TO,Fortress,5.58,25.36,Basic Materials,2.6,11.14,26.77,33.56,2.568,9.17,3.03,1.6875,6.46667,15.89
AEM.TO,Fortress,234.07,24.87,Basic Materials,8.45,10.21,53.1,29.01,2.12,33.63,117.58,1.75,269.05493,14.95
SVM.TO,Fortress,11.45,76.33,Basic Materials,6.23,10.35,42.7,30.35,4.588,22.11,2.52,1.33333,13.092653,14.35
IMG.TO,Fortress,22.24,28.88,Basic Materials,5.01,20.2,35.3,7.83,1.684,374.85,13.19,2.0,25.238033,13.48
EFX.TO,Fortress,21.85,14.47,Energy,2.1,9.79,13.0,5.23,1.24,1.79,2.67,1.55556,24.64286,12.78
POU.TO,Fortress,24.1,2.57,Energy,3.3,9.6,2.77,22.46,3.354,51.87,3.46,1.77778,27.0,12.03
TCW.TO,Fortress,6.09,10.68,Energy,5.81,27.03,12.69,11.85,2.874,59.65,1.29,2.14286,6.82143,12.01
CEU.TO,Fortress,12.35,15.63,Energy,4.8,22.0,10.52,9.13,3.016,7.88,2.63,1.5,13.75,11.34
ATH.TO,Fortress,7.14,8.21,Energy,4.83,29.97,27.38,25.32,2.016,13.06,3.47,2.11111,7.91667,10.88
BDGI.TO,Fortress,72.97,29.31,Industrials,5.63,15.63,13.16,6.6,1.477,5.63,2.46,1.875,80.0625,9.72
DPM.TO,Fortress,42.25,18.06,Basic Materials,44.41,20.76,42.96,36.22,2.774,176.88,9.37,1.5,46.09356,9.1
FRU.TO,Fortress,15.25,19.06,Energy,4.04,14.28,51.54,57.64,1.63,13.41,2.5,2.16667,16.5625,8.61
ELD.TO,Fortress,48.63,19.53,Basic Materials,3.19,8.4,39.69,19.59,2.794,22.64,9.78,2.2,52.54997,8.06
ABX.TO,Fortress,60.52,21.01,Basic Materials,4.9,11.18,49.01,30.18,2.944,11.89,103.25,1.68182,65.27572,7.86
WN.TO,Fortress,94.74,25.26,Consumer Defensive,2.28,11.91,8.38,7.46,1.416,3.76,36.22,2.25,102.125,7.8
MTL.TO,Fortress,15.98,15.08,Industrials,2.03,9.53,10.58,9.98,1.974,4.18,1.39,2.0,17.1,7.01
MRU.TO,Fortress,99.01,21.38,Consumer Defensive,4.15,11.89,6.31,6.83,1.296,9.05,21.54,2.45455,105.81818,6.88
SU.TO,Fortress,62.61,14.2,Energy,2.33,11.24,19.35,17.96,1.348,12.8,75.96,2.09524,66.7,6.53
HWX.TO,Fortress,9.54,13.07,Energy,7.31,30.1,38.65,38.91,1.316,101.82,2.28,1.77778,10.11111,5.99
CG.TO,Fortress,19.42,8.95,Basic Materials,5.53,8.84,34.06,13.73,2.888,160.69,3.92,2.5,20.45166,5.31
PAAS.TO,Fortress,70.05,30.06,Basic Materials,7.66,7.36,30.05,7.2,2.313,10.07,29.56,2.0,73.163734,4.45
FVI.TO,Fortress,13.09,11.69,Basic Materials,4.87,12.97,64.23,18.55,3.298,8.31,4.02,2.5,13.584009,3.77
ATZ.TO,Fortress,117.18,48.82,Consumer Cyclical,7.99,17.56,11.24,11.61,1.441,6.99,13.51,1.42857,120.38462,2.73
ALS.TO,Fortress,41.26,5.34,Basic Materials,8.79,15.66,41.82,50.25,8.46,11.53,1.91,2.0,42.14286,2.14
MX.TO,Fortress,55.97,13.33,Basic Materials,1.95,7.03,8.61,10.84,2.087,3.11,4.33,1.44444,,0.0
LUN.TO,Fortress,29.71,99.03,Basic Materials,3.77,5.84,31.83,24.27,1.514,4.08,25.42,1.82609,28.022121,-5.68
