Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
WPM,Fortress,117.87,53.58,Basic Materials,196.03,8.72,66.54,50.89,8.089,2269.82,53.59
NVDA,Fortress,188.85,46.63,Technology,90.66,90.08,63.17,43.63,4.468,341.19,4597.93
ISRG,Fortress,561.98,74.63,Healthcare,56.32,13.82,30.33,27.54,4.728,100.0,201.46
RGLD,Fortress,221.12,30.33,Basic Materials,43.98,13.18,50.53,51.72,3.516,44.71,18.66
FAST,Fortress,40.44,38.15,Industrials,30.15,37.78,20.7,20.47,4.259,207.59,46.43
RMBS,Fortress,99.28,47.28,Technology,30.13,15.97,35.43,19.68,11.609,142.27,10.69
DOCS,Fortress,43.29,34.63,Healthcare,29.06,20.77,38.55,34.85,7.786,100.0,8.15
MNST,Fortress,76.16,43.27,Consumer Defensive,28.89,29.15,30.74,27.67,3.185,100.0,74.41
APP,Fortress,618.32,72.83,Communication Services,28.52,39.37,76.8,15.8,3.25,5.95,209.15
ANET,Fortress,133.6,50.8,Technology,27.66,26.03,42.38,36.7,3.254,100.0,168.24
CPRT,Fortress,37.77,24.06,Industrials,27.57,18.04,37.29,37.83,7.939,,36.56
ASM,Fortress,5.92,42.29,Basic Materials,24.51,11.12,32.56,6.68,2.754,38.26,0.93
TER,Fortress,207.56,75.48,Technology,24.33,19.87,18.89,24.67,1.759,170.8,33.02
GOOG,Fortress,315.32,31.1,Communication Services,20.86,33.25,30.51,29.14,1.747,448.07,3806.49
TSEM,Fortress,121.74,68.01,Technology,20.19,7.92,12.78,14.02,6.61,54.97,13.65
ODFL,Fortress,159.19,31.52,Industrials,19.15,31.47,25.66,27.6,1.204,7348.16,33.46
CORT,Fortress,38.2,43.91,Healthcare,17.74,19.57,4.92,26.14,3.141,100.0,4.03
VEEV,Fortress,219.49,42.79,Healthcare,16.51,11.64,29.69,22.99,7.527,100.0,36.08
LRCX,Fortress,185.06,40.76,Technology,16.35,41.53,34.35,30.48,2.207,34.43,233.37
CPRX,Fortress,23.15,13.54,Healthcare,16.33,26.7,44.66,36.56,6.622,100.0,2.85
CDNS,Fortress,310.4,80.0,Technology,14.15,19.35,35.09,29.17,3.048,19.37,84.58
GNTX,Fortress,23.69,14.02,Consumer Cyclical,13.28,18.68,18.75,21.19,2.962,100.0,5.2
DECK,Fortress,106.79,15.41,Consumer Cyclical,13.15,44.52,22.82,20.3,3.067,354.51,15.84
META,Fortress,650.41,28.8,Communication Services,12.79,29.44,40.08,35.32,1.978,99.83,1639.38
EW,Fortress,85.33,37.43,Healthcare,12.71,13.57,27.37,30.42,4.004,79.19,50.1
CTAS,Fortress,184.88,39.93,Industrials,12.44,28.91,23.42,21.26,1.705,23.39,74.5
RMD,Fortress,244.81,25.03,Healthcare,12.43,23.58,34.62,29.4,2.888,,35.73
AMAT,Fortress,268.87,31.05,Technology,12.3,33.71,28.44,29.46,2.61,35.46,214.19
AVGO,Fortress,347.62,72.72,Technology,12.06,17.0,31.77,39.71,1.705,8.08,1648.16
EXEL,Fortress,43.58,18.31,Healthcare,11.9,27.12,42.89,18.41,3.752,100.0,11.73
GMAB,Fortress,31.82,13.48,Healthcare,11.76,22.92,44.91,35.78,6.034,77.37,19.73
ASML,Fortress,1163.78,40.89,Technology,10.89,32.26,32.84,32.64,1.308,56.61,451.72
APH,Fortress,139.71,46.57,Technology,10.84,18.6,27.48,20.72,2.07,14.88,171.01
INFY,Fortress,18.15,22.97,Technology,10.65,36.24,20.98,21.48,2.28,91.76,73.43
LLY,Fortress,1080.36,52.62,Healthcare,10.46,26.74,48.29,32.2,1.546,17.24,968.5
PGNY,Fortress,25.74,41.52,Healthcare,10.42,15.38,6.87,5.23,2.955,100.0,2.22
HWM,Fortress,211.71,59.3,Industrials,10.34,17.45,25.66,18.61,2.353,8.6,85.21
NFLX,Fortress,90.99,38.07,Communication Services,10.26,24.92,28.22,21.5,1.332,14.87,385.55
NYT,Fortress,69.82,34.23,Communication Services,10.1,17.26,14.95,12.51,1.524,378.01,11.37
