Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
WPM.TO,Fortress,161.94,53.45,Basic Materials,268.47,8.72,66.54,50.89,8.089,2269.82,73.52
FNV.TO,Fortress,286.1,43.48,Basic Materials,100.13,12.2,70.04,62.22,4.641,7640.0,55.15
LUG.TO,Fortress,111.85,29.43,Basic Materials,55.28,66.57,62.0,45.55,3.227,3.65,27.0
DPM.TO,Fortress,42.25,18.06,Basic Materials,44.41,20.76,42.96,36.22,2.774,176.88,9.37
ASM.TO,Fortress,8.11,45.06,Basic Materials,33.26,11.12,32.56,6.68,2.754,38.26,1.27
DSG.TO,Fortress,116.96,48.13,Technology,24.19,13.47,30.54,27.88,1.834,191.87,10.06
KNT.TO,Fortress,22.49,15.95,Basic Materials,23.66,30.81,68.87,35.98,3.285,456.18,5.47
GRGD.TO,Fortress,81.04,42.88,Consumer Cyclical,14.08,45.97,33.04,16.06,1.713,6.57,8.78
WDO.TO,Fortress,21.72,11.93,Basic Materials,13.66,29.95,55.55,21.26,4.793,83.52,3.28
OGC.TO,Fortress,38.75,16.63,Basic Materials,10.74,12.37,36.34,20.19,1.274,12.14,8.85
DNG.TO,Fortress,5.6,10.98,Basic Materials,9.66,25.9,7.9,9.47,4.633,68.99,0.23
ALS.TO,Fortress,41.26,5.34,Basic Materials,8.79,15.66,41.82,50.25,8.46,11.53,1.91
TXG.TO,Fortress,64.49,14.05,Basic Materials,8.79,19.55,43.61,32.65,1.377,100.0,6.2
AEM.TO,Fortress,234.07,24.87,Basic Materials,8.45,10.21,53.1,29.01,2.12,33.63,117.58
AGI.TO,Fortress,52.7,30.29,Basic Materials,8.04,10.53,80.68,28.96,1.717,35.88,22.13
ATZ.TO,Fortress,117.18,48.82,Consumer Cyclical,7.99,17.56,11.24,11.61,1.441,6.99,13.51
MSA.TO,Fortress,5.48,7.51,Basic Materials,7.79,31.48,37.5,22.59,1.691,18.14,1.62
PAAS.TO,Fortress,70.05,30.06,Basic Materials,7.66,7.36,30.05,7.2,2.313,10.07,29.56
APM.TO,Fortress,9.7,13.86,Basic Materials,7.4,15.31,33.71,5.28,2.678,6.17,1.44
K.TO,Fortress,38.84,19.72,Basic Materials,7.35,15.62,44.25,13.05,2.83,30.33,47.34
HWX.TO,Fortress,9.54,13.07,Energy,7.31,30.1,38.65,38.91,1.316,101.82,2.28
LIF.TO,Fortress,29.28,17.12,Basic Materials,7.28,20.26,75.13,76.04,1.785,100.0,1.87
TIH.TO,Fortress,167.81,27.46,Industrials,6.88,19.84,14.41,13.97,3.091,25.26,13.66
PSI.TO,Fortress,12.29,15.76,Energy,6.84,18.43,20.03,29.62,2.529,100.0,0.96
GIL.TO,Fortress,86.4,20.28,Consumer Cyclical,6.41,20.83,23.23,19.48,2.008,7.02,16.0
SVM.TO,Fortress,11.45,76.33,Basic Materials,6.23,10.35,42.7,30.35,4.588,22.11,2.52
TCW.TO,Fortress,6.09,10.68,Energy,5.81,27.03,12.69,11.85,2.874,59.65,1.29
RCH.TO,Fortress,39.86,26.22,Consumer Cyclical,5.8,11.98,7.67,10.92,3.207,11.36,2.2
BDGI.TO,Fortress,72.97,29.31,Industrials,5.63,15.63,13.16,6.6,1.477,5.63,2.46
CG.TO,Fortress,19.42,8.95,Basic Materials,5.53,8.84,34.06,13.73,2.888,160.69,3.92
RUS.TO,Fortress,43.66,15.0,Industrials,5.34,12.78,4.4,9.08,3.622,9.67,2.43
MDI.TO,Fortress,13.37,70.37,Basic Materials,5.22,6.6,8.4,10.02,2.487,,1.1
IMG.TO,Fortress,22.24,28.88,Basic Materials,5.01,20.2,35.3,7.83,1.684,374.85,13.19
ABX.TO,Fortress,60.52,21.01,Basic Materials,4.9,11.18,49.01,30.18,2.944,11.89,103.25
FVI.TO,Fortress,13.09,11.69,Basic Materials,4.87,12.97,64.23,18.55,3.298,8.31,4.02
ATH.TO,Fortress,7.14,8.21,Energy,4.83,29.97,27.38,25.32,2.016,13.06,3.47
CEU.TO,Fortress,12.35,15.63,Energy,4.8,22.0,10.52,9.13,3.016,7.88,2.63
VNP.TO,Fortress,18.0,26.87,Basic Materials,4.79,10.36,25.48,5.91,2.973,3.57,1.6
NWC.TO,Fortress,49.06,16.69,Consumer Defensive,4.76,16.76,9.46,8.38,2.258,11.2,2.34
ENGH.TO,Fortress,20.14,15.03,Technology,4.55,14.43,20.01,19.4,1.715,182.27,1.1
IMO.TO,Fortress,122.31,15.16,Energy,4.35,17.48,11.59,12.66,1.472,153.17,62.26
MRU.TO,Fortress,99.01,21.38,Consumer Defensive,4.15,11.89,6.31,6.83,1.296,9.05,21.54
FRU.TO,Fortress,15.25,19.06,Energy,4.04,14.28,51.54,57.64,1.63,13.41,2.5
STN.TO,Fortress,132.07,30.57,Industrials,3.98,11.72,13.66,7.34,1.27,4.95,15.06
CCL-B.TO,Fortress,87.67,19.1,Consumer Cyclical,3.95,14.28,15.28,14.17,2.194,10.75,15.19
LUN.TO,Fortress,29.71,99.03,Basic Materials,3.77,5.84,31.83,24.27,1.514,4.08,25.42
FTT.TO,Fortress,75.26,17.71,Industrials,3.61,17.81,8.23,8.0,1.648,5.33,9.98
L.TO,Fortress,62.09,30.29,Consumer Defensive,3.54,13.53,6.89,6.01,1.35,4.59,73.34
CMG.TO,Fortress,5.28,21.12,Technology,3.35,25.44,17.16,33.02,1.317,18.35,0.44
RBA.TO,Fortress,141.75,49.22,Industrials,3.34,7.48,14.74,18.6,1.233,3.35,26.32
ARIS.TO,Fortress,21.66,58.54,Basic Materials,3.32,5.73,40.92,29.55,2.415,3.9,4.39
PHX.TO,Fortress,7.65,6.95,Energy,3.31,24.67,2.0,8.13,1.901,32.76,0.35
POU.TO,Fortress,24.1,2.57,Energy,3.3,9.6,2.77,22.46,3.354,51.87,3.46
ELD.TO,Fortress,48.63,19.53,Basic Materials,3.19,8.4,39.69,19.59,2.794,22.64,9.78
FAR.TO,Fortress,2.4,10.91,Basic Materials,3.08,27.83,12.95,13.7,1.347,5.44,0.24
PET.TO,Fortress,27.74,20.4,Consumer Cyclical,2.75,21.01,15.7,15.72,1.275,3.77,1.91
CVE.TO,Fortress,24.05,13.44,Energy,2.64,9.6,11.0,10.14,1.729,7.27,45.37
CIA.TO,Fortress,5.58,25.36,Basic Materials,2.6,11.14,26.77,33.56,2.568,9.17,3.03
TCL-A.TO,Fortress,23.15,11.13,Consumer Cyclical,2.5,10.13,11.54,8.21,1.292,6.08,1.94
SU.TO,Fortress,62.61,14.2,Energy,2.33,11.24,19.35,17.96,1.348,12.8,75.96
DOO.TO,Fortress,98.51,29.67,Consumer Cyclical,2.28,8.86,9.04,12.88,1.229,1.8,7.23
WN.TO,Fortress,94.74,25.26,Consumer Defensive,2.28,11.91,8.38,7.46,1.416,3.76,36.22
DBM.TO,Fortress,9.45,10.74,Industrials,2.14,6.29,4.65,5.21,1.378,2.16,0.83
RSI.TO,Fortress,5.95,12.14,Consumer Defensive,2.14,11.78,6.81,7.79,1.782,4.99,0.76
PBH.TO,Fortress,102.45,68.76,Consumer Defensive,2.12,7.51,4.6,5.23,1.328,1.85,4.58
EFX.TO,Fortress,21.85,14.47,Energy,2.1,9.79,13.0,5.23,1.24,1.79,2.67
KEY.TO,Fortress,44.61,23.86,Energy,2.07,11.31,9.89,12.62,1.881,3.88,10.23
BDI.TO,Fortress,14.82,25.55,Industrials,2.03,8.05,14.56,12.08,1.352,3.62,1.0
MTL.TO,Fortress,15.98,15.08,Industrials,2.03,9.53,10.58,9.98,1.974,4.18,1.39
MX.TO,Fortress,55.97,13.33,Basic Materials,1.95,7.03,8.61,10.84,2.087,3.11,4.33
CTC-A.TO,Fortress,175.28,12.34,Consumer Cyclical,1.93,8.49,8.89,9.43,1.8,13.0,9.36
EIF.TO,Fortress,81.84,29.65,Industrials,1.77,7.75,13.25,11.3,1.791,2.22,4.44
SOBO.TO,Fortress,38.26,17.31,Energy,1.01,8.42,32.32,35.03,1.359,2.08,7.97
ACO-X.TO,Fortress,56.57,14.77,Utilities,0.84,5.74,22.8,25.32,1.809,2.65,6.46
