Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
TFPM.TO,Risky,44.94,32.57,Basic Materials,162.68,-0.41,58.42,44.57,1.676,-1.27,9.28
OR.TO,Risky,48.4,45.23,Basic Materials,28.83,2.8,65.18,53.9,4.373,4.78,9.11
GGD.TO,Risky,2.9,41.43,Basic Materials,20.98,6.48,29.13,-3.72,7.626,45.24,1.26
AYA.TO,Risky,19.43,0.0,Basic Materials,10.48,-7.1,27.81,1.27,1.958,-162.16,2.76
ELVA.TO,Risky,10.99,99.91,Industrials,8.18,7.27,11.57,-8.35,4.163,1.5,0.5
HSTR.V,Risky,2.51,13.94,Basic Materials,7.97,30.32,15.07,-inf,2.495,14.52,0.64
LMN.V,Risky,27.0,39.71,Technology,7.01,-20.5,20.48,16.17,2.044,-11.05,6.93
SCZ.V,Risky,13.05,15.0,Basic Materials,5.5,78.76,15.33,-3.59,1.581,87.35,1.19
PDN.TO,Risky,9.56,0.0,Energy,5.46,-4.79,16.74,-265.64,4.022,-1.85,4.3
ITR.V,Risky,5.27,25.1,Basic Materials,4.83,-3.52,29.5,-inf,1.575,-3.0,0.96
TI.TO,Risky,4.0,22.22,Basic Materials,4.22,57.94,3.81,-3.77,1.385,2.67,0.37
VLE.TO,Risky,8.09,2.59,Energy,3.58,20.85,29.3,-inf,2.436,17.05,0.86
SAP.TO,Risky,41.2,0.0,Consumer Defensive,3.38,0.94,6.23,4.82,1.617,0.84,16.9
SSRM.TO,Risky,29.57,21.27,Basic Materials,3.11,-6.15,24.81,12.64,2.407,-23.47,6.0
NEO.TO,Risky,16.89,0.0,Basic Materials,2.71,1.78,6.84,7.54,2.236,4.76,0.7
TNZ.TO,Risky,26.24,4.27,Energy,2.21,-4.73,3.16,1.22,1.44,-37.04,0.84
MRE.TO,Risky,10.46,0.0,Consumer Cyclical,1.91,4.76,5.47,4.39,1.206,1.69,0.76
EFN.TO,Risky,35.86,24.39,Industrials,1.89,4.53,49.36,25.67,4.155,339.53,14.34
TECK-B.TO,Risky,65.99,26.83,Basic Materials,1.88,0.13,13.68,20.92,2.783,0.07,32.22
NTR.TO,Risky,86.79,17.08,Basic Materials,1.88,4.71,13.48,17.5,1.409,2.54,42.17
ATS.TO,Risky,38.31,0.0,Industrials,1.73,0.44,10.34,7.75,1.63,0.16,3.71
CAS.TO,Risky,12.52,62.6,Consumer Cyclical,1.56,2.81,6.78,4.21,1.526,0.8,1.27
BB.TO,Risky,5.22,87.0,Technology,1.47,1.52,13.12,-8.64,2.144,2.42,3.08
ORV.TO,Risky,2.02,0.0,Basic Materials,1.31,-4.8,9.68,3.37,1.252,-3.1,0.28
MATR.TO,Risky,7.89,17.15,Energy,1.3,3.22,5.53,7.41,1.872,1.55,0.49
AFN.TO,Risky,23.58,0.0,Industrials,1.1,5.26,8.67,9.44,1.639,0.92,0.44
CU.TO,Risky,42.79,21.83,Utilities,0.97,5.0,28.41,28.48,1.557,2.23,11.64
CURA.TO,Risky,3.58,0.0,Healthcare,0.65,-0.66,1.26,5.92,1.472,-0.17,2.74
AQN.TO,Risky,8.42,84.2,Utilities,0.34,3.66,25.07,18.76,1.227,1.46,6.47
OGI.TO,Risky,2.37,0.0,Healthcare,0.1,-3.51,1.49,-36.56,2.258,,0.32
BHC.TO,Risky,9.92,7.46,Healthcare,0.08,7.87,26.74,18.31,1.304,1.12,3.68
