Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
SPOT,Strong,575.0,73.34,Communication Services,12.68,18.23,13.62,0.17,1.612,38.25,118.39
VITL,Strong,29.82,22.59,Consumer Defensive,12.13,24.41,10.76,4.53,2.651,67.87,1.34
ONON,Strong,46.95,55.24,Consumer Cyclical,11.49,17.21,15.71,1.67,2.554,18.7,15.5
CAVA,Strong,60.55,52.2,Consumer Cyclical,9.77,5.88,6.26,0.65,2.686,,7.02
CHRW,Strong,163.72,33.14,Industrials,8.68,22.51,5.58,4.13,1.585,7.44,19.34
CLS,Strong,302.4,49.17,Technology,7.23,19.69,10.32,4.51,1.468,11.21,34.79
PEGA,Strong,56.06,36.64,Technology,6.23,21.91,3.79,0.86,1.359,21.87,9.59
PFGC,Strong,88.05,43.16,Consumer Defensive,4.61,6.12,1.32,1.17,1.671,2.28,13.81
WDAY,Strong,205.79,87.2,Technology,4.53,6.05,10.85,0.81,1.829,6.6,54.95
DNOW,Strong,13.36,15.36,Industrials,4.51,10.09,5.84,4.66,2.52,100.0,2.48
BG,Strong,92.64,10.43,Consumer Defensive,4.3,11.42,2.19,3.84,1.66,4.24,17.91
HUM,Strong,264.48,24.76,Healthcare,4.19,5.12,2.04,3.59,2.024,3.61,31.81
UGP,Strong,3.82,7.64,Energy,4.1,18.51,3.86,2.74,1.829,3.93,4.08
MMM,Strong,161.82,25.52,Industrials,3.98,21.01,24.37,2.21,1.842,5.05,86.19
PSX,Strong,130.57,35.1,Energy,3.49,6.3,4.4,3.17,1.227,3.82,52.77
TTI,Strong,9.79,10.2,Industrials,3.4,10.63,7.26,3.88,2.355,2.28,1.31
ADM,Strong,59.05,24.0,Consumer Defensive,3.09,8.88,1.95,3.6,1.372,4.19,28.38
PSN,Strong,62.21,28.67,Technology,3.06,11.74,6.15,4.88,1.668,8.13,6.64
FLEX,Strong,63.68,28.05,Technology,2.99,14.55,5.1,3.77,1.334,5.69,23.81
GAP,Strong,25.19,11.35,Consumer Cyclical,2.82,14.18,8.22,3.89,1.72,14.07,9.37
XYZ,Strong,65.15,13.08,Technology,2.8,5.97,6.87,2.74,2.183,,39.71
WWW,Strong,18.21,17.02,Consumer Cyclical,2.74,9.18,8.57,4.57,1.343,2.44,1.49
CENX,Strong,40.94,48.74,Basic Materials,2.57,24.86,9.22,2.56,1.714,8.51,3.82
CSTM,Strong,19.77,24.71,Basic Materials,2.29,7.24,7.02,4.66,1.277,2.31,2.76
NOV,Strong,16.41,15.78,Energy,2.07,10.23,4.92,4.67,2.545,10.13,6.09
TRIP,Strong,14.64,24.4,Consumer Cyclical,2.0,6.88,12.66,1.67,1.325,2.89,1.71
XPRO,Strong,13.64,22.73,Energy,1.95,5.97,8.15,0.69,2.114,8.83,1.58
BOX,Strong,28.83,23.06,Technology,1.84,12.24,8.32,3.19,1.2,15.02,4.13
HLX,Strong,6.4,22.86,Energy,1.58,5.06,12.69,1.88,2.541,3.42,0.94
GDRX,Strong,2.75,34.38,Healthcare,0.65,6.67,7.46,1.68,3.11,1.59,0.96
