Ticker,Tier,Price,Sector,Z-Score,ROIC %,Op Margin %,Curr Ratio,Int Cov,Mkt Cap (B)
CRDO,Fortress,144.31,Technology,123.87,5.42,29.4,8.858,100.0,26.07
ARM,Fortress,110.54,Technology,35.46,10.38,14.36,5.594,100.0,117.28
APP,Fortress,695.63,Communication Services,31.81,39.37,76.8,3.25,5.95,235.3
MNST,Fortress,77.93,Consumer Defensive,29.48,29.15,30.74,3.185,100.0,76.14
CPRT,Fortress,39.515,Industrials,28.72,18.04,37.29,7.939,,38.25
ANET,Fortress,134.435,Technology,27.81,26.03,42.38,3.254,,169.29
ASM,Fortress,6.645,Basic Materials,27.34,11.12,32.56,2.754,38.26,1.04
ADMA,Fortress,19.05,Healthcare,21.16,32.24,38.01,7.128,10.02,4.55
GOOG,Fortress,314.14,Communication Services,20.79,33.25,30.51,1.747,448.07,3792.25
CPRX,Fortress,24.08,Healthcare,16.86,26.7,44.66,6.622,100.0,2.96
GRMN,Fortress,205.49,Technology,15.87,19.62,25.8,3.316,100.0,39.56
LRCX,Fortress,175.905,Technology,15.75,41.53,34.35,2.207,34.43,221.82
CELH,Fortress,46.54,Consumer Defensive,15.04,11.11,25.1,1.887,,12.0
FORM,Fortress,57.29,Technology,14.96,7.87,8.88,4.298,190.98,4.44
CDNS,Fortress,317.9,Technology,14.43,19.35,35.09,3.048,19.37,86.62
GNTX,Fortress,23.44,Consumer Cyclical,13.16,18.68,18.75,2.962,100.0,5.14
META,Fortress,659.065,Communication Services,12.93,29.44,40.08,1.978,99.83,1661.19
CTAS,Fortress,190.95,Industrials,12.72,28.91,23.42,1.705,23.39,76.94
AVGO,Fortress,350.025,Technology,12.13,17.0,31.77,1.705,8.08,1659.56
AMAT,Fortress,262.28,Technology,12.1,33.71,28.44,2.61,35.46,208.94
GMAB,Fortress,32.72,Healthcare,12.03,22.92,44.91,6.034,77.37,20.28
APH,Fortress,137.35,Technology,10.69,18.6,27.48,2.07,14.88,168.12
LLY,Fortress,1084.685,Healthcare,10.5,26.74,48.29,1.546,17.24,972.37
